HOLDER,SUBJECT
YAMAMOTO CHEMICAL INDUSTRIES CO LTD,MEFENAMIC ACID
ZAPPA PLASTICS INC,"BUILDINGS, FACILITIES, AND PERSONNEL IN GREENBROOK, N.J."
CUNO INC,MICROFLUOR CARTRIDGES FOR STERILE FILTRATION
UNICHEM LABORATORIES LTD,SUCRALFATE
PFIZER CANADA INC,"MANUFACTURING SITE, FACILITIES, PERSONNEL, AND GENERAL OPERATING PROCEDURES IN ARNPRIOR, ONTARIO, CANADA."
EMERY CHEMICALS,"MANUFACTURING SITE, FACILITIES, PERSONNEL, AND GENERAL OPERATING PROCEDURES IN MAULDIN, SOUTH CAROLINA."
AWARD CORP,PHENYLPROPANOLAMINE HYDROCHLORIDE USP
LEK PHARMACEUTICAL AND CHEMICAL CO DD,NIFEDIPINE
UNICHEM LABORATORIES LTD,CLOMIPHENE CITRATE
MATERIALS PROCESSING TECHNOLOGY INC,ACETAMINOPHEN 90%
VALSPAR CORP,STERILE PRODUCT OPERATION-SOUTH (SPO-SOUTH) IN GREENVILLE NORTH CAROLINA
FIS FABBRICA ITALIANA SINTETICI SPA,NIFEDIPINE USP
COMPANIA ESPANOLA DE SINTESIS QUIMICA SA,MEDROXY PROGESTERONE ACETATE
UNIV MISSOURI RESEARCH REACTOR,SM-153-ETHYLENEDIAMINETETRAMETHYLENEPHOSPHONIC ACID (SM-153-EDTMP)
CHANTAL PHARMACEUTICAL CORP,BUILDINGS AND FACILITIES IN BUBENDORF SWITZERLAND
CHANTAL PHARMACEUTICAL CORP,CYOCTOL
BAXTER HEALTHCARE CORP,PRODUCTION OF STERILE SVP INJECTIONS IN SEAL/FILL/SEAL PLASTIC CONTAINERS
INV POLYPROPYLENE LLC,23S2A AND 23S1ACS256
BAYER AG,"FACILITIES AND PERSONNEL IN LEVERKUSEN, GERMANY"
ACF CHEMIEFARMA NV,SULFAPYRIDINE
ORGAMOL SA,ACETOHEXAMIDE
ZAMBON SPA,THIAMPHENICOL GLYCINATE HCL
APTAR RADOLFZELL GMBH,MULTIDOSE DISPENSING SYSTEMS
DAIICHI SANKYO PROPHARMA CO LTD,OFLOXACIN BULK PRODUCT
CLASSIC INDUSTRIES INC,"CONTROLS, FACILITIES AND PERSONNEL IN LATROBE, PENNSYLVANIA"
NOVO NORDISK AS,NORETHINDRONE ACETATE
PFC ITALIANA SRL DIV ALFA CHEMICALS ITALIANA,PRAZOSIN HYDROCHLORIDE
NORAMCO INC,SUPROFEN
UNICHEM LABORATORIES LTD,METRONIDAZOLE BENZOATE
UNICHEM LABORATORIES LTD,CLONIDINE HYDROCHLORIDE
QUALICAPS CO LTD,EMPTY GELATIN CAPSULES
RHONE-POULENC SANTE INC,MEGLUMINE
CENTURY PLASTICS INC,CANNULA ASSEMBLY INJECTION MOLDED FOR DORSEY LABS
3M PHARMACEUTICALS,"MANUFACTURING SITE, FACILITIES, PERSONNEL, AND GENERAL OPERATING PROCEDURES OF SPUNLACED FABRIC TAPE IN BROOKINGS, SD."
EIRCHEM PHARMA SERVICES LTD,ISOSORBIDE 5-MONONITRATE (5-ISM)
SIGNA SA,ALPHA METHYL DOPA USP
JANSSEN PHARMACEUTICA NV,"MANUFACTURING SITE, PERSONNEL, FACILITIES, AND GENERAL OPERATING PROCEDURES AT GEEL, BELGIUM."
CUNO INC,"MANUFACTURING SITE, FACILITIES, PERSONNEL, AND GENERAL OPERATING PROCEDURES ."
TEMMLER WERKE VEREINIGTE CHEMISCHE FABRIKEN,CONTROLLED RELEASE PELLETS OR PACKED CAPSULES CONTAINING SAME
HOECHST MARION ROUSSEL SA,TRIAMCINOLONE ACETONIDE
INDUSTRIAS QUIMICAS ESTEVE SA,BELLAFOLINE SUBSTANCE 60%
ABBOTT LABORATORIES PHARMACEUTICAL PRODUCTS DIV,OXYBUTYNIN CHLORIDE
KV PHARMACEUTICAL CO,RU-VERT M TABLETS (MECLIZINE HCL)
"MERCK SHARP & DOHME B.V., A SUBSIDIARY OF MERCK & CO., INC","ORGANIZATION, FACILITIES AND MANUFACTURING FACILITIES"
NORDION CANADA INC,SODIUM IODIDE I-131
FABBRICA ITALIANA SINTETICI SPA,ALLOPURINOL
BACHEM INC,"GROWTH HORMONE RELEASING FACTOR (GRF) (1-29) AMIDE, HUMAN"
SALSBURY CHEMICALS INC,"CHLORPROPAMIDE, U.S.P."
LABORATORY ANALYTICAL BIOLOGY INC,GC-MS FOR QUANTITATIVE DETERMINATION OF CLONIDINE IN PLASMA
DORLYL USINE DU HAVRE,PVC PRODUCTS
NOVA CHEMICALS LTD,IMPACT POLYSTYRENE FORMULATIONS
STEROID SRL,NANDROLONE PHENPROPIONATE USP
CARRINGTON LABORATORIES INC,CSN-GEL
CARRINGTON LABORATORIES INC,CSN BULK PRODUCT
CHINOIN PHARMACEUTCIAL AND CHEMICAL WORKS CO LTD,ETHAMBUTOL HYDROCHLORIDE
BAYER AG,"FACILITIES AND PERSONNEL AT WUPPERTAL, WEST GERMANY"
PHARMEXPERT,"MANUFACTURING SITE, FACILITIES, PERSONNEL, AND GENERAL OPERATING PROCEDURES IN HUNGARY."
SANOFI WINTHROP INDUSTRIE,CORDARONE (AMIODARONE HYDROCHLORIDE)
ALDRICH CHEMICAL CO INC,FILLING & FREEZE DRYING METHODS FOR IN-VIVO MATERIAL
SALK INSTITUTE,"NAL-GLU ANTAGONIST AS RESEARCHED IN SAN DIEGO, CALIFORNIA"
NV ORGANON,NALBUFINE HYDROCHLORIDE
ORION CORP LTD,METHOCARBAMOL
FINE CHEMICALS CORP,DANAZOL USP
DIPHARMA FRANCIS SRL,BENDROFLUMETHIAZIDE USP
PHARMACIA AND UPJOHN AB,"MANUFACTURING SITE, FACILITIES, OPERATING PROCEDURES AND PERSONNEL IN UPPSALA, SWEDEN."
HYBRITECH INC,INDIUM-III CITRATE ANTIBODY GRADE 7590
DINAMITE DIPHARMA SPA,TOLAZAMIDE
SIGMA F AND D DIV LTD,ESERINE SALICYLATE SALT
GANES CHEMICALS INC PENNSVILLE DIV,TRAZODONE HYDROCHLORIDE
MEDICAL UNIV OF SOUTH CAROLINA HOSP PHARMACY,"MANUFACTURING SITE, FACILITIES, PERSONNEL, AND GENERAL OPERATING PROCEDURES IN CHARLESTON, SOUTH CAROLINA."
PHARM ECO LABORATORIES INC,CYCLOPHOSPHAMIDE MONOHYDRATE
PHARM ECO LABORATORIES INC,HALOPROGIN
HOFFMANN LAROCHE,"MANUFACTURING SITE, FACILITIES, PERSONNEL, AND GENERAL OPERATING PROCEDURES IN VILLIAGE-NEUF, FRANCE."
EASTMAN KODAK CO,1-METHYL-2-(3-PYRIDYL) PYRROLIDINE (NICOTINE)
FINE ORGANICS LTD,"1, METHYLAMINO-1-METHYLTHIO-2-NITROETHENE"
HEICO CHEMICALS DIV WHITTAKER CORP,"POTASSIUM BICARBONATE, USP"
HEICO CHEMICALS DIV WHITTAKER CORP,PSEUDOEPHEDRINE HCL USP
PFIZER INC,BETAMETHASONE VALERATE
CONSOLIDATED CONTAINER CO LLC,POLYETHYLENE AND POLYPROPYLENE CONTAINERS
TENNECO CHEMICALS INC,NUOPLAZ 6959 (PLASTICIZER)
INTERTECH CORP,PLASTIC BOTTLE CONTAINERS
NV ORGANON,FLUPHENAZINE DECANOATE
JRS PHARMA LP,MICROCRYSTALLINE CELLULOSE USP
MERCK KGAA,"TITRIPLEX VS, DIETHYLENETRIAMINEPENTAACETIC ACID"
PCAS,OXYBUTYNIN CHLORIDE USP
NORAMCO INC,CODEINE PHOSPHATE
RECKITT AND COLMAN PRODUCTS LTD PHARMACEUTICAL DIV,IDAZOXAN CAPSULES
RECKITT AND COLMAN PRODUCTS LTD PHARMACEUTICAL DIV,IDAZOXAN DRUG SUBSTANCE
HOFFMANN LAROCHE F AND CO LTD,"MANUFACTURING FACILITY LOCATED IN BASLE, SWITZERLAND"
ABBOTT LABORATORIES HOSP PRODUCTS DIV,FC85 PLASTIC (FLEXIBLE CONTAINERS)
CYCLO PRODUCTS INC,BUSPIRONE HYDROCHLORIDE
HELVOET PHARMA NV,RUBBER CLOSURES
NEN LIFE SCIENCE PRODUCTS,IONIC GALLIUM-68
FINE CHEMICALS CORP PTY LTD,BACLOFEN
LABORATORY ANALYTICAL BIOLOGY INC,ERGOTAMINE IN HUMAN PLASMA
SMITH KLINE & FRENCH LABS DIV SMITHKLINE BECKMAN CORP,CARBON-14 ALBENDAZOLE SUSPENSION
GETTIG PHARMACEUTICAL INSTRUMENT CO,"RUBBER CLOSURE FORMULATION, GP 1502/45"
SANOFI PHARMACEUTICALS INC,CHLOROQUINE BASE AND PHOSPHATE
STERIGENICS US LLC,STERILE FINISHED PRODUCTS AND STERILE PROCESSING OPERATIONS
DAINIPPON PHARMACEUTICAL CO LTD,"FACILITIES, PERSONNEL, AND PROCEDURES AT SUZUKA-SHI, JAPAN"
KATWIJK CHEMIE BV,VALPROIC ACID
OLIN RESCTR,OMADINE MDS
DC CHEMICAL CO LTD,HEXACHLOROPHENE
CARLSBERG BIOTECHNOLOGY LTD,IGE PENTAPEPTIDE ACETATE
STEROID STABILIMENTS,OXYMETHOLONE USP
STEROID SRL,STANOZOLOL USP
HOFFMANN LA ROCHE INC,PROTIRELIN (THYROTROPIN RELEASING HORMONE)
SIGMA F AND D DIV LTD,"FRUCTOSE 1,6-DIPHOSPHATE"
SOLVAY PHARMACEUTICALS,"HORMONE MFG. FACILITY LOCATED IN BAUDETTE, MINNESOTA"
HONEYMEAD PRODUCTS CO,EDIBLE LIQUID SOYBEAN OIL
SUMIKA FINE CHEMICALS CO LTD,METOLAZONE
DINAMITE DIPHARMA SPA,SULINDAC USP
BWXT MEDICAL LTD,SODIUM IODIDE I-123
HELVOET PHARMA MARYLAND,RUBBER CLOSURE FORMULATION B5000-45 GRAY
HELVOET PHARMA MARYLAND,RUBBER CLOSURE FORMULATION B5000-55 GRAY
PHARMACIA AND UPJOHN,OLSALAZINE SODIUM
NORDEN ANDBRO,"MANUFACTURING SITE, FACILITIES, PERSONNEL, AND GENERAL OPERATING PROCEDURES IN PITMAN, NEW JERSEY."
WYETH-AYERST LABORATORIES,OXAZEPAM
SOLVAY AND CIE SA,"BENVIC EB 652/5405-A, RIGID PVC COMPOUND"
MACFARLAN SMITH JOHNSON MATTHEY PLC BUSINESS,"PENTAMIDINE ISETHIONATE,(BULK)"
HOLOPAK GMBH,"ASEPTIC PROCESSING FACILITY FOR ROMMELAG(R) BOTTELPACK(R) BLOW-FILL-SEAL TECHNOLOGY IN SULZBACH AND UNTERGRONINGEN, GERMANY"
AMERSHAM INTERNATIONAL PLC AMERSHAM LABORATORY,YTTRIUM 90Y SILICATE
STEROID SRL,"FACILITIES,PERSONNEL,AND OPERATING PROC. AT COLOGNO MONZESE,IT"
SIGMA F AND D DIV LTD,BETA-PHENYLETHYLAMINE HYDROCHLORIDE
RHONE-POULENC SANTE INC,ALLOPURINOL
DRG MEDICAL PACKAGING INC,2438 COATING PAPER
INTERNATIONAL MEDICATION SYSTEMS LTD,RUBBER CLOSURES AND VIAL INJECTORS
CUNO INC,ZETAPOR O.45 WP MEMBRANE CARTRIDGES
EPROVA AG,FENOFIBRATE (PROCETOFEN)
B BRAUN MEDICAL INC,EXCEL® PLASTIC CONTAINER STERILIZATION PROGRAM
B BRAUN MEDICAL INC,MATERIAL QUALIFICATION FOR THE EXCEL PLASTIC CONTAINER
B BRAUN MEDICAL INC,VAPOR TRANSMISSION STUDIES FOR THE EXCEL PLASTIC CONTAINER
B BRAUN MEDICAL INC,CHEMISTRY MANUFACTURING AND CONTROLS FOR THE EXCEL PLASTIC CONTAINER
B BRAUN MEDICAL INC,INK QUALIFICATION STUDIES FOR THE EXCEL® PLASTIC CONTAINERS
B BRAUN MEDICAL INC,ACCELERATED STUDIES FOR THE EXCEL PLASTIC CONTAINER
SOLVAY AND CIE SA,ELTEX B 4921
BRISTOL LABORATORIES INC DIV BRISTOL MYERS CO,"METHODS, FACILITIES, AND CONTROLS IN MAYAGUEZ, PUERTO RICO"
SOLVAY AND CIE SA,HD-PE COPOLYMER ELTEX A 4009 MF
ORION CORP LTD,MINOXIDIL
MIKART INC,LORTAB TABLETS
HEXAGON LABORATORIES INC,METHOCARBAMOL
HEXAGON LABORATORIES INC,PROPANTHELINE BROMIDE
PHARMACIA AND UPJOHN,"FACILITIES AND CONTROLS IN WEST SUSSEX, U.K."
CUNO INC,"ZETAPOR 0.20UM ST MEMBRANE CARTRIDGES, MERIDEN, CT"
HEXAGON LABORATORIES INC,THIORIDAZINE HYDROCHLORIDE
INTRAPAC CORP,PLASTIC BOTTLES AND CLOSURES
NOVOPHARM LTD,"FACILITIES, PERSONNEL,OPERATING PROC. AT ONTARIO, CANADA"
HOECHST CELANESE CORP,ACETOHEXAMIDE USP
WEST AMERICAN RUBBER CO,WEST AMERICAN RUBBER COMPOUND 55-P-146
CIPLA LTD,"FACILITIES, CONTROLS, AND OPERATING PROC. AT BANGALORE, INDIA"
CIPLA LTD,"FACILITIES, CONTROLS, AND OPERATING PROC. AT VIKHROLI, INDIA"
CIPLA LTD,"MANUFACTURING SITE, FACILITIES, PERSONNEL, AND GENERAL OPERATING PROCEDURES IN PATALGANGA, INDIA."
CIPLA LTD,"FACILITIES, CONTROLS AND OPERATING PROC. AT BOMBAY, INDIA"
BAYER CORP,BOVINE THROMBIN
HUBERT DEBACKER AND CO PVB,INJECTION MOULDED PLASTIC CONTAINERS
WINGFOOT FILMS CORP,POLYETHYLENE FILM
WINGFOOT FILMS CORP,POLYETHYLENE FILM
LABOCHIM,PENTOXIFYLLINE
MIKART INC,LORTAB 7 TABLETS
HEXAGON LABORATORIES INC,METOLAZONE
SOCIETA ITALIANA CORTICOSTEROIDI SPA,MEDROXYPROGESTERONE ACETATE
ACF CHEMIEFARMA NV,SULFASALAZINE
DANISCO INGREDIENTS,BUTABARBITAL
MIKART INC,LORCET PLUS TABLETS
DELMAR CHEMICALS INC,PENTAMIDINE ISETHIONATE
SEDA SPECIALTY PACKAGING CORP,"JARS, CLOSURES AND VIALS"
RECORDATI INDUSTRIA CHIMICA E FARMACEUTICA SPA,FLAVOXATE HYDROCHLORIDE
SOCIETA ITALIANA MEDICINALI SCANDICCI SIMS SRL,BUPIVACAINE HYDROCHLORIDE
HEINRICH MACK NACHF,RIBAVIRIN
QUATRUM,TRIAMCINOLONE ACETONIDE
SHOWA DENKO KK,SPECIFIC DRUG SUBSTANCES FOR L-TRYPTOPHAN IN JAPAN
CIPLA LTD,VINBLASTINE SULFATE USP
CIPLA LTD,VINCRISTINE SULFATE USP
STERIS,"CONTRACT STERILIZATION FACILITY AT 1880 INDUSTRIAL DRIVE LIBERTYVILLE, IL."
HEINRICH MACK NACHF,5-FLUORO-2'-DEOXYURIDINE
HILL DERMACEUTICALS INC,DERMA-SMOOTHE CAPSULES
BACHEM AMERICAS INC,SALMON CALCITONIN (SCT)
DIPHARMA FRANCIS SRL,NIFEDIPINE USP
ROHM AND HAAS CO,"CHOLESTYRAMINE RESIN, USP-AMBERLITE IRP-276"
ASPEN OSS BV,ARGININE VASOPRESSIN
LABORATORY ANALYTICAL BIOLOGY INC,VALIDATION REPORT ON FLURAZEPAM AND IT'S MAJOR METABOLITES
CAROLINA MEDICAL PRODUCTS CO,"FACILITIES, PERSONNEL AND GENERAL OPER. PROC. IN N. CAROLINA"
LABORATORY ANALYTICAL BIOLOGY INC,DETERMINATION OF HALOPERIDOL IN HUMAN PLASMA USING GC-MS
SCHERING CHEMICALS LTD,ULTRALANUM CREAM PLAIN
GATTEFOSSE ESTABLISSEMENTS,PRECIFAC
FISONS PHARMACEUTICAL LTD,NEDOCROMIL SODIUM
RAYLO CHEMICALS,"FACILITIES, PERSONNEL AND OPERATING PROCED. IN ALBERTA, CANADA"
LABORATORY ANALYTICAL BIOLOGY INC,VALIDATION REPORT ON NITROGLYCERIN METABOLITES
LABORATORY ANALYTICAL BIOLOGY INC,VALIDATION REPORT ON PRAZEPAM AND IT'S MAJOR METABOLITES
HELSINN CHEMICALS SA,"MANUFACTURING SITE, FACILITIES, PERSONNEL, AND GENERAL OPERATING PROCEDURES IN SWITZERLAND."
HELSINN CHEMICALS SA,CHLORZOXAZONE DRUG SUBSTANCE
SELOC FRANCE,SODIUM VALPROATE
MILLIKEN AND CO,MILLAD 3905 (DIBENZYLIDENE SORBITOL)
CUNO INC,ZETAPOR 0.45 UM SP MEMBRANE CARTRIDGES
CAMBREX PROFARMACO MILANO SRL,ALBUTEROL / SALBUTAMOL SULPHATE
PCAS,TRIMIPRAMINE MALEATE
CAMBREX PROFARMACO MILANO SRL,ALBUTEROL BASE
PHARMACIA AND UPJOHN CO LLC WHOLLY OWNED SUB OF PFIZER INC,DEXAMETHASONE SODIUM PHOSPHATE USP
ORGANICHEM CORP,AMINOBISAMIDE HYDROCHLORIDE
BOEHRINGER INGELHEIM PHARMA KG,PHYSOSTIGMINE SALICYLATE
TECHNICAL COATINGS CO SUB BENJAMIN MOORE AND CO,"BACKGROUND, PERSONNEL AND PROCEDURES FOR DEVELOPMENT OF NEW ANTI-CANCER AGENTS IN UNITED KINGDOM"
LABORATOIRE CHOAY,AMIODARONE HYDROCHLORIDE INJECTION
BOEHRINGER INGELHEIM CHEMICALS INC,METAXALONE
ANTIBIOTICOS SPA,IBUPROFEN
RICHARDSON VICKS INC,"MANUFACTURING SITE, FACILITIES, PERSONNEL, AND GENERAL OPERATING PROCEDURES IN NORTH CAROLINA."
NIPPON KAYAKU CO LTD,DEOXYSPERGUALIN HYDROCHLORIDE FOR INJECTION
NORDION CANADA INC,SODIUM MOLYBDATE MO99
IROPHARM LTD,IMIPRAMINE HYDROCHLORIDE
RHONE-POULENC SANTE INC,GADOLINIUM OXIDE 99.99 (PHOSPHOR GRADE)
NIPPON KAYAKU CO LTD,DEOXYSPERGUALIN HYDROCHLORIDE
ASHLAND INC,HYDROXYPROPYL CELLULOSE
BERK PHARMACEUTICALS LTD,ACTIVE & PLACEBO FUROSEMIDE (FRUSEMIDE TABS) 40MG
PCI SERVICES INC,"PACKAGING PROCEDURES AT ESSEX, UK"
HELVOET PHARMA MARYLAND,RUBBER CLOSURE FORMULATION B5001-45 GRAY
LUBRIZOL ADVANCED MATERIALS INC,NOVEON CA-1/NOVEON CA-2 (CALCIUM POLYCARBOPHIL USP)
PFIZER CHEMICALS DIV PFIZER INC,"MANUFACTURING SITE, FACILITIES, PERSONNEL, AND GENERAL OPERATING PROCEDURES IN RINGASKIDDY, IRELAND."
PFIZER SA,TINIDAZOLE
JM HUBER POLYMER SERVICES GROUP,"MANUFACTURING SITE, FACILITIES, PERSONNEL, AND GENERAL OPERATING PROCEDURES IN ORANGE, TEXAS."
WHITBY RESEARCH INC SUB ETHYL CORP,"N-0437 SYNTHESIS AND NON-CLINICAL STUDIES AT IRVINE, CALIF."
DUPHAR BV,CALCITRIOL
SOCIETE BOURGUIGNONNE D APPLICATIONS PLASTIQUES,BENVIC PEB 02 P/0546
SOCIETE BOURGUIGNONNE D APPLICATIONS PLASTIQUES,BENVIC PEB 02 P/0102
SOCIETE BOURGUIGNONNE D APPLICATIONS PLASTIQUES,BENVIC PEB 01 P/0546 (A PVC CMPD)
SOCIETE BOURGUIGNONNE D APPLICATIONS PLASTIQUES,BENVIC PEB 01 P/0102
EXTAL PTY LTD DIV JOHNSON AND JOHNSON,"MANUFACTURING SITE, FACILITIES, PERSONNEL, AND GENERAL OPERATING PROCEDURES IN TASMANIA, AUSTRALIA."
QUATRUM,TRIAMCINOLONE BASE
STERIS,"COBALT 60 GAMMA IRRADIATION CONTRACT STERILIZATION FACILITY LOCATED IN READING, BERKSHIRE, ENGLAND"
STERIS,"CONTRACT STERILIZATION FACILITY IN BRADFORD, UNITED KINGDOM"
PROCTER AND GAMBLE PHARMACEUTICALS GERMANY GMBH,"FACILITIES, PERSONNEL AND OPER. PROC. AT WEITERSTADT, GERMANY"
STATOIL,POLYETHYLENE RESIN L500
ORGANICHEM CORP,"SR-2508, HYPOXIC CELL RADIOSENSITIZER"
ETHYL CORP,TOLRESTAT
DIOSYNTH BV,6-ALPHA-METHYLPREDNISOLONE SODIUM SUCCINATE
TSUJIMOTO KAGAKU KOGYO CO LTD,DEXTROMETHORPHAN PHENOLPHTHALINATE
UNIV TEXAS MD ANDERSON CANCER CENTER,CYCLOTRON-PRODUCED RADIOPHARMACEUTICALS
TOKUYAMA CORP,CHLORZOXAZONE USP
ZENITH LABORATORIES INC,"FACIL. AND OPER. PROC. AT PRALEX CORP. IN ST. CROIX,VIRGIN ISL"
3M PHARMACEUTICALS,SCOTCHPAK BRAND HEAT SEALABLE POLYESTER FILM NO. 6
ASTA PHARMA AG,"PRODUCTION PLANT AT KUNSEBECK, GERMANY"
SOCIETE BOURGUIGNONNE D APPLICATIONS PLASTIQUES,BENVIC IB 56C/0102
EGIS PHARMACEUTICALS PRIVATE LTD,CLOMIPHENE CITRATE USP
CONTINENTAL PHARMA SA,CP 751 S TABLETS
UNIBIOS SPA,NALIDIXIC ACID
HEXAGON LABORATORIES INC,BROMPHENIRAMINE MALEATE USP
HARTINGTON CHEMICALS DIV STAVELEY CHEMICALS LTD,ACETAMINOPHEN D.C. PVP
HARTINGTON CHEMICALS DIV STAVELEY CHEMICALS LTD,ACETAMINOPHEN D.C. 90 PVP
DOW CORNING CORP,SILASTIC QCF7-2856 ELASTOMER
MACFARLAN SMITH JOHNSON MATTHEY PLC BUSINESS,SOTRADECOL GEL
NORWICH EATON PHARMACEUTICALS INC SUB PROCTOR AND GAMBLE CO,ASACOL (5-AMINOSALICYLIC ACID) TABLETS
ROHM PHARMA GMBH,ASACOL TABLETS
MITSUI CHEMICALS INC,TAFMER A 4085 RESIN COMPOUNDS
LABOCHIM,FLUPHENAZINE DECANOATE
ICI AMERICAS INC,METHYLENE CHLORIDE
BASF SE,VITAMIN A PALMITATE
HOFFMANN LA ROCHE INC,RIBOFLAVIN 5'-PHOSPHATE SODIUM
ATOMIC ENERGY CORP,CP-VCR 807 GA-67
MIKART INC,LORTAB LIQUID
KNOLL AG,"FACILITIES, PERSONNEL AND PROCEDURES IN LIESTAL, SWITZERLAND"
EURAND AMERICA INC,MICROENCAPSULATED ASPIRIN
HEXAGON LABORATORIES INC,CHLORPROMAZINE HCl USP
HEXAGON LABORATORIES INC,IBUPROFEN USP
HEXAGON LABORATORIES INC,AMANTIDINE HYDROCHLORIDE
HEXAGON LABORATORIES INC,DISOPYRAMIDE PHOSPHATE USP
VERTELLUS GREENSBORO LLC,CITROFLEX(R) B-6
RHONE POULENC PHARMACY INC,"FACILITIES, PERSONNEL AND PROCEDURES AT MONTREAL, CANADA"
DRAGOCO RIECH UND GESCHMACK STOFFE GMBH,NATURAL PEPPERMINT POWDER FLAVOR AND MENTHOL CRYSTALIZED
FINE CHEMICALS CORP,SILVER SULPHADIAZINE MICRONIZED
WITTEN MANUFACTURING CO,PURIFIED COTTON USP
WITTEN MANUFACTURING CO,PURIFIED RAYON
INDUSTRIE CHIMICHE FARMACEUTICHE ITALIANE SPA,METAPROTERENOL SULPHATE USP
SANDOZ PHARMACEUTICALS CORP DIV SANDOZ INC,CHLORPHENIRAMINE BASE
CIPLA LTD,METOPROLOL TARTRATE
JRS PHARMA LP,EMCOCEL MICROCRYSTALLINE CELLULOSE USP
NOVARTIS PHARMACEUTICALS CORP,PYRILAMINE BASE
KV PHARMACEUTICAL CO,IBUPROFEN DIHYDROCODEINE F.C. TABLETS
MOEHS IBERICA SL,TRIAMTERENE
NOVARTIS PHARMACEUTICALS CORP,PYRILAMINE MALEATE
CILAG CHEMIE AG,MESALAZINE
NOBEL CHEMICALS AB DIV FINE CHEMICALS INC,"N,N'-BIS(2,3-DIHYDROXYPROPYL)-5-AMINO-ISOPHTHAMALIMIDE HCl"
SWISSPACK CORP,TUBES AND CLOSURES
HEXACHIMIE SA,1-(3-CHLOROPHENYL) PIPERAZINE HYDROCHLORIDE
COMAR UNICON PUERTO RICO LLC,PLASTIC PACKAGING COMPONENTS
AMEND RUGER CHEMICAL CO,"FACILITIES, PERSONNEL, AND OPERATING PROCEDURES IN NJ"
ROQUETTE CORPORATION,LYCASIN BRAND OF HYDROGENATED GLUCOSE SYRUP
PPG PACKAGING AND COATINGS,INTERNAL PROTECTIVE LACQUER COATINGS
DIOSYNTH BV,NORGESTOMET
RP SCHERER CORP,"MANUFACTURING SITE, FACILITIES, PERSONNEL, AND GENERAL OPERATING PROCEDURES IN ONTARIO, CANADA."
INDUSTRIAS CAPSUVAR SA,EMPTY HARD GELATIN CAPSULES
LABORATORY ANALYTICAL BIOLOGY INC,EFFECTS OF BIPERIDEN ON THE PHARMOKINETICS OF HALOPERIDOL
BASF CORP,SANTICIZER 711
TEVA PHARMACEUTICAL INDUSTRIES LTD,ALBUTEROL SULPHATE (SALBUTAMOL)
ZENITH LABORATORIES INC,"FACILITIES, PERSONNEL, AND OPERATING PROCEDURES IN NJ"
ICU MEDICAL INC,BLOW/FILL/SEAL (B/F/S) SEMI-RIGID CONTAINER
VEB GELATINE UND LEIMWERKE,EMPTY HARD GELATIN CAPSULES
LABORATOIRES DETUDES ET DE RECHERCHES SYNTHELABO,ZOLPIDEM TARTRATE
ALLPACK LTD,"MANUFACTURING SITE, FACILITIES, PERSONNEL, AND GENERAL OPERATING PROCEDURES"
ADRIAPLAST SPA,ALKORPACK-P PLASTIC SHEET PACKAGING
ADRIAPLAST SPA,VENIPAK-P PLASTIC SHEET PACKAGING
MSD INTERNATIONAL GMBH,LORATADINE
IDEMITSU PETROCHEMICAL CO LTD,IDEMITSU POLYPROPYLENE FILM
WYETH-AYERST LABORATORIES,PROTOCOLS FOR EQUIVALENCY OF PACKAGING COMPONENTS
DR REDDYS LABORATORIES LTD,L-METHYL DOPA
A SCHULMAN INC,PACKAGING MATERIAL
CUNO INC,ZETAPOR 0.20 UM AND 0.45 SP FLAT STOCK MEMBRANE
WILLIAM WARNE LTD,RUBBER SEALING GASKET PART #300H 42P
TOKUYAMA CORP,FACILITIES PRODUCING PROPANTHELINE BROMIDE
FERRING AB,"MANUFACTURING SITE, FACILITIES, PERSONNEL, AND GENERAL OPERATING PROCEDURES IN MALMO, SWEDEN."
AMERICAN CUSTOM DRYING CO INC,"MANUFACTURING SITE, FACILITIES, PERSONNEL, AND GENERAL OPERATING PROCEDURES IN BURLINGTON, NEW JERSEY."
RELIABLE CHEMICAL CO,PROTAMINE SULFATE (BULK)
ADVANCED ELASTOMER SYSTEMS,"VYRAM THERMOPLASTIC RUBBER, GRADE 1055"
MIKART INC,LORCET PLUS TABLETS
GEDEON RICHTER LTD,NORETHINDRONE 1 MG. AND MESTRANOL 0.05 MG. TABLETS IN BULK
GEDEON RICHTER LTD,FINISHED DOSAGE FORM OF PLACEBO TABLETS
FIS FABBRICA ITALIANA SINTETICI SPA,CARBAMAZEPINE
LASA LABORATORIOS SA,METHOCARBAMOL
IRISH FINE CHEMICALS LTD,DESIPRAMINE HYDROCHLORIDE
OLON SPA,TIMOLOL MALEATE
ORCHIMIE SA (PRODUITS CHIMIQUES ET BIOCHIMIQUES),PERPHENAZINE
QUATRUM,HYDROCORTISONE HEMISUCCINATE
SPRAY TEK INC,"MANUFACTURING SITE, FACILITIES, PERSONNEL, AND GENERAL OPERATING PROCEDURES IN NEW JERSEY."
HOKURIKU SEIYAKU CO LTD,TULOBUTEROL BASE
LENNON LTD,"MANUFACTURING SITE, FACILITIES, PERSONNEL, AND GENERAL OPERATING PROCEDURES IN PORT ELIZABETH, SOUTH AFRICA."
ROQUETTE FRERES,MANNITOL GRANULAR G.G.
SAFET EMBAMET LETHIAS,SAFET MONOBLOC ALUMINUM CAN
FERMION OY,TOREMIFENE CITRATE
